series_name,p,nobs_train,innovation_variance,aic,bic
logistic_noise_moderate,11,6600,0.998992473596,17.3469736221,98.8848727583
logistic_noise_moderate,12,6600,0.998242653595,14.3913104939,102.724034558
logistic_noise_moderate,13,6600,0.998178026577,15.9640074448,111.091556437
logistic_noise_moderate,14,6600,0.998120352524,17.5826528812,119.505026801
logistic_noise_moderate,15,6600,0.99811465256,19.5449621677,128.262161016
logistic_noise_moderate,16,6600,0.998114589609,21.5445459046,137.056569681
logistic_noise_moderate,17,6600,0.998112868382,23.5331643404,145.840013045
logistic_noise_moderate,18,6600,0.998020156214,24.9200786379,154.02175227
logistic_noise_moderate,19,6600,0.997990073329,26.7211347248,162.617633285
logistic_noise_moderate,20,6600,0.997945392044,28.4256377141,171.116961202
logistic_noise_moderate,21,6600,0.997936719658,30.3682818762,179.854430293
logistic_noise_moderate,22,6600,0.997216646235,27.6042523224,183.885225667
logistic_noise_moderate,23,6600,0.997211977652,29.5733535966,192.649151869
logistic_noise_moderate,24,6600,0.997210888173,31.5661429307,201.436766131
logistic_noise_moderate,25,6600,0.997185322321,33.3969342044,210.062382333
logistic_noise_moderate,26,6600,0.997063431614,34.5901354835,218.05040854
logistic_noise_moderate,27,6600,0.997016684517,36.2806887037,226.535786688
logistic_noise_moderate,28,6600,0.996503475498,34.8824992412,231.932422154
logistic_noise_moderate,29,6600,0.996382621643,36.082016515,239.926764355
logistic_noise_moderate,30,6600,0.996177538897,36.7234165056,247.362989274
logistic_noise_moderate,31,6600,0.99613401715,38.4350644872,255.869462184
logistic_noise_moderate,32,6600,0.995921203242,39.0248909273,263.254113552
logistic_noise_moderate,33,6600,0.995841292662,40.4952998479,271.5193474
logistic_noise_moderate,34,6600,0.995823440001,42.3769791651,280.195851646
logistic_noise_moderate,35,6600,0.995801157026,44.2292930676,288.842990476
logistic_noise_moderate,36,6600,0.995799231455,46.2165307007,297.625053037
logistic_noise_moderate,37,6600,0.995780726125,48.0938791516,306.297226416
logistic_noise_moderate,38,6600,0.99576325498,49.9780800008,314.976252193
logistic_noise_moderate,39,6600,0.995731915966,51.7703591899,323.56335631
logistic_noise_moderate,40,6600,0.995202200737,50.2583187226,328.846140771
logistic_noise_moderate,41,6600,0.995117245978,51.6948901604,337.077537137
logistic_noise_moderate,42,6600,0.994662092116,50.6754442496,342.852916154
logistic_noise_moderate,43,6600,0.994645034319,52.5622576491,351.534554482
logistic_noise_moderate,44,6600,0.993932072913,49.8296823155,355.596804076
logistic_noise_moderate,45,6600,0.99393167006,51.8270072518,364.38895394
logistic_noise_moderate,46,6600,0.993910891775,53.6890318601,373.045803477
logistic_noise_moderate,47,6600,0.993624739736,53.7885844495,379.940180994
logistic_noise_moderate,48,6600,0.993106815372,52.3474543445,385.293875817
logistic_noise_moderate,49,6600,0.993056183995,54.0109592159,393.752205617
logistic_noise_moderate,50,6600,0.992337312663,51.2315026429,397.767573972
